,date,token,price,ret
0,Mon Aug 23 2021 00:00:07 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,0.0,0.0
1,Tue Aug 24 2021 00:00:08 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,3.6138223177822155,0.0
2,Wed Aug 25 2021 00:00:07 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,3.5521610744137124,-0.017209854358777355
3,Thu Aug 26 2021 00:00:07 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.251610215114965,-0.4559105602057867
4,Fri Aug 27 2021 00:00:08 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.450682829227414,0.08472108011014269
5,Sat Aug 28 2021 00:00:07 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.563403717726592,0.044969261090796214
6,Sun Aug 29 2021 00:00:08 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,3.7905685453687425,0.391180067191018
7,Mon Aug 30 2021 00:00:08 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.4874083378434295,-0.42127467955081216
8,Tue Aug 31 2021 00:00:08 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.5490771420346365,0.024490048318932214
9,Wed Sep 01 2021 00:00:09 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,1.6749794300086671,-0.4199305039726468
10,Thu Sep 02 2021 00:00:08 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,1.1832374662495038,-0.3475465875094532
11,Fri Sep 03 2021 00:00:08 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,1.417629954375671,0.18073213388911963
12,Sat Sep 04 2021 00:00:06 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,1.4507304085565027,0.02308072865261589
13,Sun Sep 05 2021 00:00:06 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,1.7869151652000748,0.20842360210115654
14,Mon Sep 06 2021 00:00:06 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,1.9553990673167616,0.0901035373678653
15,Tue Sep 07 2021 00:00:08 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,1.7753965741376172,-0.09657047908933444
16,Wed Sep 08 2021 00:00:09 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.0204051174355695,0.1292742244691853
17,Thu Sep 09 2021 00:00:10 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.489738062993363,0.20887946486724063
18,Fri Sep 10 2021 00:00:09 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.2560198010453694,-0.0985753987017659
19,Sat Sep 11 2021 00:00:10 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.3343883070642493,0.034147779149062495
20,Sun Sep 12 2021 00:00:07 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.152865804845847,-0.08095000274534646
21,Mon Sep 13 2021 00:00:07 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.425655617566295,0.11930195854854211
22,Tue Sep 14 2021 00:00:08 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.3403203532615584,-0.03581402250620467
23,Wed Sep 15 2021 00:00:08 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.2170414075419638,-0.05411421535720476
24,Thu Sep 16 2021 00:00:09 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.2144760759904663,-0.0011577667684186652
25,Fri Sep 17 2021 00:00:07 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.5149799558579846,0.1272489927053216
26,Sat Sep 18 2021 00:00:08 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.5673030977161706,0.020591135921485208
27,Sun Sep 19 2021 00:00:08 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.783227543792865,0.08075527165054258
28,Mon Sep 20 2021 00:00:09 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,3.1579693296789793,0.12631796258750588
29,Tue Sep 21 2021 00:00:10 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.687937271571687,-0.16115511792196024
30,Wed Sep 22 2021 00:00:08 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.74826019487102,0.022193969136689754
31,Thu Sep 23 2021 00:00:08 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,3.3636544755171336,0.20205996938813175
32,Fri Sep 24 2021 00:00:08 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,3.881465836736133,0.14318485081805696
33,Sat Sep 25 2021 00:00:08 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,3.565473280529818,-0.08491607269598471
34,Sun Sep 26 2021 00:00:08 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,3.52127407651659,-0.01247392489016192
35,Mon Sep 27 2021 00:00:09 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.928098357346969,-0.18446969015151715
36,Tue Sep 28 2021 00:00:08 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.7744000235892825,-0.05391867141838568
37,Wed Sep 29 2021 00:00:08 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.633020242024141,-0.05230294780419317
38,Thu Sep 30 2021 00:00:08 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.7944219401651624,0.05949369765351415
39,Fri Oct 01 2021 00:00:07 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.8171279149966106,0.00809263014193424
40,Sat Oct 02 2021 00:00:09 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,3.278766191258891,0.1517492943303016
41,Sun Oct 03 2021 00:00:08 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,3.3544109931665553,0.022809003678746338
42,Mon Oct 04 2021 00:00:08 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,3.315287759903324,-0.011731768835713238
43,Tue Oct 05 2021 00:00:08 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,3.0926072689824555,-0.06952991377093842
44,Wed Oct 06 2021 00:00:07 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,3.2417233826761644,0.04709058512436353
45,Thu Oct 07 2021 00:00:08 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,3.0967210161686554,-0.045761281651534494
46,Fri Oct 08 2021 00:00:07 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,3.4276071576113387,0.10151858106590465
47,Sat Oct 09 2021 00:00:07 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.79952570640075,-0.20241238377715706
48,Sun Oct 10 2021 00:00:07 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.976137864003544,0.06117642890607688
49,Mon Oct 11 2021 00:00:07 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.617863739674617,-0.1282678225233678
50,Tue Oct 12 2021 00:00:07 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.4407153886314186,-0.07006743024972954
51,Wed Oct 13 2021 00:00:08 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.474007745210465,0.013548216213493655
52,Thu Oct 14 2021 00:00:07 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.5140506095939616,0.01605583646056575
53,Fri Oct 15 2021 00:00:07 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.7146271193113916,0.07675936193148612
54,Sat Oct 16 2021 00:00:08 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.5169568439645413,-0.07560403281672179
55,Sun Oct 17 2021 00:00:09 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.3727885605763563,-0.05898469885894617
56,Mon Oct 18 2021 00:00:08 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.287608302988361,-0.03655900870919567
57,Tue Oct 19 2021 00:00:08 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.290048512492448,0.001066139220823242
58,Wed Oct 20 2021 00:00:07 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.4807561499199484,0.07999041102957824
59,Thu Oct 21 2021 00:00:08 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.5047367618247525,0.009620231049245892
60,Fri Oct 22 2021 00:00:09 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.6910001005158395,0.07172926518226248
61,Sat Oct 23 2021 00:00:08 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.5332904863042245,-0.06039386391718524
62,Sun Oct 24 2021 00:00:09 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.52772937655618,-0.002197625038777165
63,Mon Oct 25 2021 00:02:36 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.5758777359927962,0.018868924238597158
64,Tue Oct 26 2021 00:00:18 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,3.4258425872766747,0.28515710796217364
65,Wed Oct 27 2021 00:00:16 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,3.101094345570122,-0.09959238844606283
66,Thu Oct 28 2021 00:00:16 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.7414606723475226,-0.12326419344160934
67,Fri Oct 29 2021 00:00:13 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.6418555821383554,-0.037009328173026844
68,Sat Oct 30 2021 00:00:18 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.5700590670218117,-0.027552660361488304
69,Sun Oct 31 2021 00:00:28 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.274753031843066,-0.12205739284147653
70,Mon Nov 01 2021 00:00:25 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.47135402313866,0.08289469886702505
71,Tue Nov 02 2021 00:00:19 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.5286993153598356,0.02293887799595748
72,Wed Nov 03 2021 00:00:20 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.702391767277732,0.0664321546768243
73,Thu Nov 04 2021 00:00:17 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.831495261550272,0.0466677124751459
74,Fri Nov 05 2021 00:00:12 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.7300635281193757,-0.03648005379394759
75,Sat Nov 06 2021 00:00:18 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.50227809656646,-0.08712332372464807
76,Sun Nov 07 2021 00:02:34 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.5509458951207398,0.019262674077543094
77,Mon Nov 08 2021 00:02:57 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.618195411293394,0.02602107649109133
78,Tue Nov 09 2021 00:02:30 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.6686994730831426,0.019105958869498906
79,Wed Nov 10 2021 00:03:28 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.6994790729540727,0.01146755343981366
80,Thu Nov 11 2021 00:00:35 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.4356432825938734,-0.10284791504472054
81,Fri Nov 12 2021 00:00:19 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.5114279836585145,0.030640605755462718
82,Sat Nov 13 2021 00:00:21 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.34809520087796,-0.06724706250093111
83,Sun Nov 14 2021 00:00:24 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.430147803032003,0.034347633133115237
84,Mon Nov 15 2021 00:00:25 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.4780436599668167,0.019517322290225143
85,Tue Nov 16 2021 00:00:24 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.2886961221995694,-0.07948712562972135
86,Wed Nov 17 2021 00:00:22 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.1276391397430494,-0.07296929654509969
87,Thu Nov 18 2021 00:00:15 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,2.151195471168698,0.011010740801021525
88,Fri Nov 19 2021 00:00:15 GMT+0000 (Coordinated Universal Time),f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,1.9071492690012166,-0.1204141229037623
